signal,family,hypothesis,trade,primary_horizon,n_events,n_assets,first,last,median_round_trip_bp,IS_n,IS_clusters,IS_gross_mean,IS_hedged_mean,IS_funding_mean,IS_net_mean,IS_net_lo,IS_net_hi,IS_net_median,IS_win,IS_t,IS_p,IS_p_wild,IS_p_normal,IS_mae_med,IS_mfe_med,OOS_n,OOS_clusters,OOS_gross_mean,OOS_hedged_mean,OOS_funding_mean,OOS_net_mean,OOS_net_lo,OOS_net_hi,OOS_net_median,OOS_win,OOS_t,OOS_p,OOS_p_wild,OOS_p_normal,OOS_mae_med,OOS_mfe_med,ALL_n,ALL_clusters,ALL_gross_mean,ALL_hedged_mean,ALL_funding_mean,ALL_net_mean,ALL_net_lo,ALL_net_hi,ALL_net_median,ALL_win,ALL_t,ALL_p,ALL_p_wild,ALL_p_normal,ALL_mae_med,ALL_mfe_med,breakeven_rt_bp_ALL,sign_consistent_IS_OOS,years_positive_share,by_year,by_btc_regime,by_vol_regime,IS_premium_gain_mean,OOS_premium_gain_mean,IS_p_bh,IS_reject_bh10,IS_p_wild_bh,IS_p_normal_bh,OOS_p_bh,OOS_reject_bh10,OOS_p_wild_bh,OOS_p_normal_bh,bh_family_size_OOS
CB1_coinbase_premium_high_long_BTC,cross_venue,US USD spot demand (Coinbase premium >= +2 sd) leads offshore price: expect BTC up,BTC perp,5d,26,1.0,2020-07-22,2026-09-04,20.0,17,13.0,0.026793537902930292,0.026793537902930292,-0.0030347311764705952,0.021758806726459693,-0.022394859941274853,0.058618256605082034,-0.010626216658105201,0.4117647058823529,0.9939710161552668,0.33985772772049794,0.3806903451725863,0.32023697829587205,-0.051549691890841354,0.043714074074074016,9,9.0,0.00025114755300761595,0.00025114755300761595,-0.0012385144444444372,-0.002987366891436823,-0.02379660545615286,0.01744583640019828,-0.012727069127581035,0.3333333333333333,-0.2518936383325946,0.8074736837076112,0.8094047023511756,0.8011232769534358,-0.026595603201402196,0.02836357184048266,26.0,22.0,0.017605787397187826,0.017605787397187826,-0.002412963846153848,0.013192823551033978,-0.017313239125282272,0.04003837213392844,-0.011261456651466882,0.38461538461538464,0.8690056178291173,0.39466781853146327,0.40520260130065033,0.3848440580254697,-0.04277663638065199,0.03995345538285,151.9282355103398,False,0.42857142857142855,"{2020: 0.0528, 2021: -0.0039, 2022: -0.0105, 2023: 0.0659, 2024: 0.0265, 2025: -0.0095, 2026: -0.0162}","{'bear': (-0.0059, 8), 'bull': (0.0217, 18)}","{'low': (0.0208, 12), 'mid': (-0.0133, 5), 'high': (0.0178, 9)}",,,0.601286749043958,False,0.6771957407275065,0.5871011268757654,0.8681158066968715,False,0.8669334667333667,0.8669919171758299,23
CB2_coinbase_premium_low_short_BTC,cross_venue,Coinbase discount <= -2 sd: US selling pressure: expect BTC down,BTC perp,5d,50,1.0,2020-11-25,2026-06-01,20.0,23,12.0,-0.010063118200216253,-0.010063118200216253,0.002408352608695624,-0.009654765591520632,-0.05620285607353865,0.034992198521563836,-0.016477776967989022,0.30434782608695654,-0.40504971948882357,0.69320672977362,0.7013506753376688,0.6854409645315287,-0.04295593173170542,0.03016322302662422,27,15.0,0.012866779978887459,0.012866779978887459,0.0011061559259258644,0.011972935904813322,-0.007573577928990327,0.0301434756290493,0.005985758735646331,0.6296296296296297,1.1821448857207197,0.2568380607106837,0.2576288144072036,0.2371482168772605,-0.021876628167086576,0.03935686984235631,50.0,27.0,0.002319026816499752,0.002319026816499752,0.0017051663999999539,0.0020241932164997032,-0.021242268828199965,0.021570914246424246,-0.001766917823277701,0.48,0.16838045721782816,0.8675870008548727,0.8669334667333667,0.8662839814778913,-0.03525235697995466,0.03702870905773248,40.24193216499705,False,0.5714285714285714,"{2020: -0.134, 2021: 0.0111, 2022: 0.0223, 2023: -0.006, 2024: -0.0179, 2025: 0.0188, 2026: 0.0463}","{'bear': (0.0129, 19), 'bull': (-0.0046, 31)}","{'low': (0.0092, 28), 'mid': (0.0039, 12), 'high': (-0.0203, 10)}",,,0.8857641547107367,False,0.8961703073759101,0.8870412482172725,0.49227294969547714,False,0.538678430124153,0.474296433754521,23
F1_extreme_pos_funding_short,funding,Top cross-sectional decile of 7d funding AND funding >= +2 sd vs own 90d: crowded levered longs pay; expect weak forward returns,short perp,5d,998,313.0,2019-10-28,2026-09-14,104.27571488491444,348,28.0,-0.015229710420531777,-0.0077722451779231524,0.005544142423553986,-0.01098759228488,-0.030212204476761966,0.006437012648166642,0.011022306097462155,0.5316091954022989,-1.124728363809682,0.2706039648715435,0.2836418209104552,0.2607041585915191,-0.1064971636276949,0.1189137996288483,629,31.0,-0.0036946271535809364,0.012149429780127917,0.005533936227259567,0.006815778755927188,-0.02527262122355581,0.029025060853668953,0.02903850663998512,0.5786963434022258,0.49413856350451296,0.624807247933336,0.6268134067033517,0.6212083246452931,-0.13086876155268024,0.1384439359267734,977.0,59.0,-0.007803336444163221,0.005053480050955173,0.005537571597075798,0.0004743528376048732,-0.020068065278547372,0.01859381856103134,0.018399323624901757,0.5619242579324463,0.04843690184085409,0.961534459903808,0.9619809904952477,0.9613680503899724,-0.11951052580118682,0.12927756653992384,105.91051648030974,False,0.375,"{2019: -0.0056, 2020: -0.0244, 2021: -0.0023, 2022: -0.0274, 2023: -0.0155, 2024: 0.0022, 2025: 0.0139, 2026: 0.0024}","{'bear': (-0.0332, 206), 'bull': (0.009, 792)}","{'low': (0.0077, 543), 'mid': (-0.0276, 309), 'high': (0.0343, 141)}",,,0.5458428719631166,False,0.593069261903679,0.5387999183328254,0.7569003471939032,False,0.7775466680708775,0.7567736859187806,23
F2_extreme_neg_funding_long,funding,Bottom decile 7d funding AND funding <= -2 sd: crowded shorts pay; expect squeeze / rebound,long perp,5d,2406,453.0,2020-03-13,2026-09-14,102.96696645599293,921,45.0,0.009639597699185636,0.00019208773488800572,0.011837896450274684,0.0026281704000881523,-0.01645345968761244,0.022036034528255963,-0.029039467713310514,0.3735070575461455,0.2678470159850383,0.7900687456940995,0.8039019509754878,0.7888170789603159,-0.09915182357930452,0.07630539151123772,1465,33.0,-0.016540454280854353,-0.015315288992602668,0.030420940245116566,0.004432555713429502,-0.01468793327115802,0.02158517310565274,-0.027493490127674235,0.3945392491467577,0.48801099278297067,0.6288692952610824,0.6423211605802901,0.6255420547157442,-0.11532313313541898,0.08465458663646652,2386.0,78.0,-0.006434910327117206,-0.009329415578512596,0.023247854186839376,0.003736059957525319,-0.008195700440904926,0.01637372245130511,-0.027960106113697657,0.3864207879295893,0.5580074006444005,0.578458193058223,0.5727863931965983,0.5768393306167032,-0.10806639973306648,0.08118714079677214,139.1843860832678,True,0.7142857142857143,"{2020: 0.0055, 2021: 0.0264, 2022: 0.0131, 2023: -0.0163, 2024: -0.0155, 2025: 0.0112, 2026: 0.0251}","{'bear': (0.0142, 1186), 'bull': (-0.0064, 1220)}","{'low': (0.0021, 1364), 'mid': (-0.0144, 690), 'high': (0.0463, 352)}",,,0.9085790575482143,False,0.9340579380599391,0.9133671440593133,0.7569003471939032,False,0.7775466680708775,0.7567736859187806,23
F3_funding_despite_reversal_short,funding,Top-decile funding persists while price fell >= 1 sd over 3d: trapped longs still paying; expect continuation down,short perp,5d,3021,461.0,2019-10-23,2026-09-14,103.16229798154419,1273,50.0,-0.004240660890084382,-0.0016239973150688305,0.0004504227884381482,-0.010774279522353172,-0.028232243889942346,0.00462596158350936,-0.003170254681710392,0.4807541241162608,-1.2599855522627676,0.21364255164369308,0.23011505752876438,0.20767457420038138,-0.0706537119139703,0.07810475661669436,1734,33.0,-0.004094321828473238,-0.00262106412018033,0.0015129367938164103,-0.01173852550124155,-0.02878819696854526,0.00675563682899623,0.005044561099697689,0.5184544405997693,-1.3617286714625003,0.18279421804413468,0.1890945472736368,0.17328352934351687,-0.09348629235993244,0.11496825839100538,3007.0,83.0,-0.004156273815646829,-0.002198960348013073,0.0010631262421547782,-0.011330316279051691,-0.022252021994897155,0.0014902665407223665,0.0005000976956457646,0.5024941802460925,-1.8576918518870291,0.06680224021325144,0.07553776888444222,0.0632127862696168,-0.08309417339651604,0.09797297297297292,-11.358341058582951,True,0.125,"{2019: -0.0424, 2020: 0.0442, 2021: -0.0178, 2022: -0.0172, 2023: -0.0094, 2024: -0.0056, 2025: -0.0118, 2026: -0.0258}","{'bear': (-0.0193, 1385), 'bull': (-0.0046, 1636)}","{'low': (-0.0123, 1887), 'mid': (-0.0136, 718), 'high': (-0.0019, 406)}",,,0.5220148451095059,False,0.593069261903679,0.5076489591564878,0.42042670150150974,False,0.48094047023511755,0.4235819606174857,23
F4_high_funding_ann_100pct_short,funding,7d funding annualised >= 100%: extreme carry paid by longs,short perp,5d,1058,219.0,2020-02-09,2026-09-09,76.77740536871099,755,11.0,-0.03768907247308735,-0.03909339673777976,0.009832898939168794,-0.03694052671340379,-0.06776088800943597,-0.019313992107693845,0.012476222863477363,0.5245033112582781,-4.075134263587311,0.002231712602008441,0.05052526263131566,4.5987806266634124e-05,-0.14528727651449413,0.129120254603319,294,26.0,-0.05858763170545747,-0.04792797443518998,0.008761145669706417,-0.04872509646890476,-0.13445091301544546,0.02156969174505261,0.04120647973462396,0.5850340136054422,-1.2916686863857139,0.2082864820260829,0.20910455227613806,0.19647190609182408,-0.14553647545974913,0.17566951007334075,1049.0,37.0,-0.043546247319909866,-0.041569436626281764,0.00953252195039669,-0.040243351792638576,-0.07864688468836074,-0.016888878134074317,0.016916460648837155,0.5414680648236415,-3.239750366106884,0.002575465963958777,0.0065032516258129065,0.0011963438697717432,-0.14528727651449413,0.14250000000000007,-320.3691467588508,True,0.16666666666666666,"{2020: -0.0383, 2021: -0.0377, 2023: 0.09, 2024: -0.0293, 2025: -0.1254, 2026: -0.0147}","{'bear': (-0.0241, 112), 'bull': (-0.0421, 946)}","{'low': (-0.0374, 316), 'mid': (-0.0681, 239), 'high': (-0.0296, 493)}",,,0.025664694923097073,True,0.38736034684008674,0.0006117600992274763,0.4355080987818097,False,0.48094047023511755,0.43223819340201297,23
P1_premium_z_high_short,basis,Perp premium >= +2 sd vs own 90d: perp rich vs index; expect perp to cheapen,short perp,5d,6767,506.0,2020-02-05,2026-09-14,90.32609498044268,3320,47.0,-0.021781967628597583,-0.015624593271034687,0.0019207414350473513,-0.022606418643205593,-0.03344133531165535,-0.011319203185085997,9.490548159545075e-05,0.5009036144578313,-4.0306849203826545,0.0002069890035751446,0.003501750875437719,5.561455447522512e-05,-0.08844788215310506,0.08818345520298682,3416,33.0,-0.018926231641510142,-0.0020454853315520953,0.001033881999926114,-0.01121878680708473,-0.023039675872954454,0.005218269471323044,0.007117220574591842,0.5242974238875878,-1.3678405072934856,0.18089181805180624,0.29314657328664334,0.17136200520421774,-0.1013979423384671,0.0967982243640213,6736.0,80.0,-0.020333749972438035,-0.008738276061819643,0.0014709920540535645,-0.016831455704935275,-0.02504633344732368,-0.0054958422954701795,0.0031541223929935384,0.5127672209026128,-3.517118282191834,0.0007263577689380605,0.0030015007503751876,0.00043625933004109996,-0.09440187591391935,0.09174982958916988,-72.6728400776608,True,0.14285714285714285,"{2020: 0.0016, 2021: -0.038, 2022: -0.0261, 2023: -0.0158, 2024: -0.0129, 2025: -0.0084, 2026: -0.0105}","{'bear': (-0.0196, 1267), 'bull': (-0.0162, 5500)}","{'low': (0.0016, 3409), 'mid': (-0.0412, 2310), 'high': (-0.0229, 1035)}",,,0.004760747082228326,True,0.08054027013506754,0.0006117600992274763,0.42042670150150974,False,0.5618642654660664,0.4235819606174857,23
P2_premium_z_low_long,basis,Perp premium <= -2 sd: perp cheap vs index; expect richening,long perp,5d,10643,577.0,2020-03-12,2026-09-14,108.20551865637337,3975,46.0,0.004412665196329718,-0.00493609669774311,0.0033324789010983303,-0.01118192362055825,-0.0229688399891783,0.0010535824134916354,-0.01913291948050369,0.39220125786163523,-1.9184045570981292,0.06141748120093096,0.07053526763381691,0.0550597336740295,-0.06682904551682145,0.07604726100966697,6637,33.0,-0.004995057797241807,-0.0014935131295084505,0.0075363159409734095,-0.004855813634063505,-0.01536967275211273,0.005358507472311733,-0.0189416267746089,0.40409823715534127,-0.9035787627484401,0.37297098789522565,0.38669334667333666,0.36621880660668227,-0.09012464046021096,0.07651622002820879,10612.0,79.0,-0.0014711510030986845,-0.0027830221460682673,0.005961659680748811,-0.007225422303147242,-0.015465744675457678,0.0004485707733359697,-0.019048234961857258,0.39964191481341876,-1.7901782519022469,0.07730583607239185,0.08404202101050526,0.07342526015405237,-0.08134632603371117,0.07625228168127862,31.786375346805443,True,0.2857142857142857,"{2020: -0.0087, 2021: 0.0115, 2022: -0.0142, 2023: -0.0177, 2024: -0.0059, 2025: -0.0082, 2026: 0.0065}","{'bear': (-0.0019, 5842), 'bull': (-0.0137, 4801)}","{'low': (-0.0104, 5966), 'mid': (-0.0084, 2986), 'high': (0.0063, 1688)}",,,0.35315051690535304,False,0.40557778889444723,0.2603990931240303,0.6407868202185923,False,0.6673336668334167,0.6468552374898214,23
L1_new_perp_listing_short,listings,First trading day of a new Binance USDT perp: attention-driven buying and supply overhang; expect negative drift after day 1,short perp,10d,589,589.0,2021-01-19,2026-07-03,120.0,175,32.0,0.019801218887019665,0.034333218655842004,-0.011591457428571351,0.010741761227270665,-0.03680549903627014,0.05431649771835535,0.07981818843876988,0.6457142857142857,0.4794530305729364,0.6349816293081532,0.6338169084542271,0.6316163749203434,-0.1675041876046901,0.22317965200044332,414,31.0,0.03238229641555104,0.037112168783671,-0.019435750845410594,0.005676417938260406,-0.062192380378394335,0.06963121028299503,0.1297005949611266,0.6642512077294686,0.1674805920096379,0.8681158066968716,0.8669334667333667,0.86699191717583,-0.21792283163265302,0.28660438471894106,589.0,63.0,0.028644285265308284,0.03628650448423113,-0.01710510339558569,0.007181401088645449,-0.038608650817116445,0.0517539933161979,0.11348719209811144,0.6587436332767402,0.2929096589953613,0.7705693151451454,0.791895947973987,0.7695912056939127,-0.19252557041699458,0.2678477552307854,191.81401088645453,True,0.5,"{2021: -0.0174, 2022: 0.0284, 2023: 0.0217, 2024: -0.0057, 2025: 0.0148, 2026: -0.0108}","{'bear': (0.0255, 206), 'bull': (-0.0027, 383)}","{'low': (0.015, 344), 'mid': (0.0234, 149), 'high': (-0.046, 96)}",,,0.8590927925933837,False,0.8575169937910132,0.8684725155154722,0.8681158066968715,False,0.8669334667333667,0.8669919171758299,23
C1_funding_interval_shortened,mechanics,Binance shortens the funding interval under extreme funding: payments accelerate for the crowded side; trade against the side paying,against funding sign,5d,136,113.0,2021-11-11,2026-08-11,105.51747593751409,21,8.0,-0.044874824473662256,0.014782549603775527,0.019024339406451207,0.02460452068502557,-0.030522343146740398,0.04944647711298688,0.03293711268006857,0.5714285714285714,1.8868417626659941,0.10114380702213456,0.4122061030515258,0.05918161207364325,-0.11236407571486096,0.047128613689367604,113,21.0,0.05805425983614684,0.06693669349938396,0.09899437108151381,0.1556485058024935,0.0434753970804582,0.29795600190876503,-0.003843229233272915,0.49557522123893805,2.4273058940044296,0.02477967627216489,0.026013006503251626,0.015211424245283434,-0.20561282932416947,0.18994181213632566,134.0,29.0,0.04192358244431108,0.05876328288887814,0.08646175417721294,0.13511176186617388,0.03779604841360966,0.24941371016282837,0.007253981932215,0.5074626865671642,2.437222680998288,0.021409137000797072,0.02801400700350175,0.014800561886642472,-0.1795772301004871,0.13933855197120887,1452.2503706609114,True,0.6666666666666666,"{2021: -0.1529, 2022: -0.0171, 2023: 0.0391, 2024: 0.115, 2025: 0.1992, 2026: 0.1172}","{'bear': (0.1379, 106), 'bull': (0.1253, 30)}","{'low': (0.0635, 90), 'mid': (0.1066, 36), 'high': (0.8722, 10)}",,,0.43622979923492033,False,0.6771957407275065,0.2603990931240303,0.14021437988726615,False,0.1311655827913957,0.11155044446541185,23
