name,family,mechanism,counterparty,why_they_trade,why_opportunity_exists,why_it_persists,what_kills_it,half_life,capacity,liquidity,execution_difficulty,venue_risk,data_quality,classification,stats,in_sample,out_of_sample,cost_sensitivity,regime_dependence,component_scores,confidence,notes,gates,score_mechanism,score_oos_significance,score_regime_robust,score_param_stability,score_cost_resilience,score_capacity,score_sample_size,score_decay,score_implementation,score_counterparty_risk,AQS,recommendation,verdict
Q4_short_liq_OI_rebuild_long,liquidation,Margin engines liquidate regardless of price: flushes overshoot when fuel is exhausted (OI reset) and cascade when leverage keeps rebuilding.,Liquidated leveraged traders and the insurance fund / ADL counterparties.,"Forced: margin calls, not choice.",Liquidity providers widen during cascades; risk capital is scarce exactly when needed.,Catching liquidation flushes is psychologically and operationally hard (gap risk).,"Lower leverage, better liquidation engines (partial liquidations), more market-making capital.",hours to days,medium (flush depth is large for majors); median event ADV $118m,stressed at entry,high (enters during volatility),exchange outages during cascades,"medium: CoinGlass aggregated daily, venue coverage spliced; pre-2021 zeros excluded",FORCED FLOW,"{'n': 1811, 'win_OOS': 0.4191176470588235, 'mae_med_OOS': -0.0699563273786695, 'mfe_med_OOS': 0.0757497857236525, 'breakeven_rt_bp': 233.04454694051532, 'median_rt_cost_bp': 72.47388027421657}","{'n': 718.0, 'net_mean': 0.0103819396775334, 'median': -0.014149773703766, 't': 1.5402099834558256, 'p_bh': 0.4362297992349203}","{'n': 1088.0, 'net_mean': 0.0196425792172046, 'median': -0.0154435151055063, 't': 2.2640946692281783, 'ci': '[0.0017, 0.0348]', 'p_bh': 0.1402143798872661}",break-even round trip 233 bp vs median modelled 72 bp (ratio 3.22),"{'bear': (-0.0002, 911), 'bull': (0.0324, 900)} | years positive share 0.83","{'mechanism': 4, 'oos_significance': 4, 'regime_robust': 2, 'param_stability': 4, 'cost_resilience': 5, 'capacity': 4, 'sample_size': 5, 'decay': 5, 'implementation': 3, 'counterparty_risk': 3}",MEDIUM,**Research verdict: NO INCREMENTAL STRUCTURAL ALPHA**,"{'OOS BH p=0.14 (>=0.10)': 'PAPER TRADE', 'excess over price-only control +0.67% [-0.55%, +1.85%] not above 0': 'WATCH', 'verdict: NO INCREMENTAL STRUCTURAL ALPHA': 'WATCH'}",4,4,2,4,5,4,5,5,3,3,79.0,WATCH,NO INCREMENTAL STRUCTURAL ALPHA
C1_funding_interval_shortened,mechanics,"Exchanges shorten funding intervals under extreme funding, accelerating payments by the crowded side.",Crowded side forced to pay more frequently.,Positions already on; switching costs.,Rule change is mechanical and public but rarely monitored.,Few participants track contract-spec changes systematically.,Rule changes; wider adoption of spec monitoring.,days,low-medium; median event ADV $15m,alt perps,medium,exchange rule changes,medium: interval changes inferred from print spacing,STRUCTURAL ALPHA,"{'n': 136, 'win_OOS': 0.495575221238938, 'mae_med_OOS': -0.2056128293241694, 'mfe_med_OOS': 0.1899418121363256, 'breakeven_rt_bp': 1452.2503706609114, 'median_rt_cost_bp': 105.51747593751408}","{'n': 21.0, 'net_mean': 0.0246045206850255, 'median': 0.0329371126800685, 't': 1.886841762665994, 'p_bh': 0.4362297992349203}","{'n': 113.0, 'net_mean': 0.1556485058024935, 'median': -0.0038432292332729, 't': 2.4273058940044296, 'ci': '[0.0435, 0.2980]', 'p_bh': 0.1402143798872661}",break-even round trip 1452 bp vs median modelled 106 bp (ratio 13.76),"{'bear': (0.1379, 106), 'bull': (0.1253, 30)} | years positive share 0.67","{'mechanism': 3, 'oos_significance': 4, 'regime_robust': 4, 'param_stability': 3, 'cost_resilience': 5, 'capacity': 2, 'sample_size': 4, 'decay': 5, 'implementation': 4, 'counterparty_risk': 3}",MEDIUM,**Research verdict: FORWARD TEST ONLY**,"{'OOS BH p=0.14 (>=0.10)': 'PAPER TRADE', 'excess over price-only control +15.25% [-0.23%, +33.89%] not above 0': 'WATCH', 'top-5 events = 81% of OOS P&L': 'WATCH'}",3,4,4,3,5,2,4,5,4,3,72.4,WATCH,FORWARD TEST ONLY
O1_price_up_OI_up,oi_price,Price/OI quadrants separate new-leverage-driven moves from covering/capitulation.,Late levered momentum traders or capitulating longs.,Momentum chasing; margin pressure.,Crowding is observable but slow to resolve.,Signal is noisy and regime-dependent.,Wider use of OI dashboards.,days,medium; median event ADV $139m,perp,medium,exchange,medium: aggregated OI across venues (spliced),BEHAVIORAL,"{'n': 3579, 'win_OOS': 0.4207769532955041, 'mae_med_OOS': -0.0710696338837042, 'mfe_med_OOS': 0.069833923223523, 'breakeven_rt_bp': 180.17496861863177, 'median_rt_cost_bp': 71.75362819920937}","{'n': 1272.0, 'net_mean': 0.0117284330498838, 'median': -0.0142706919404152, 't': 1.6072889780141746, 'p_bh': 0.4362297992349203}","{'n': 2291.0, 'net_mean': 0.0102509435201117, 'median': -0.0158839715375144, 't': 1.5216517348640304, 'ci': '[-0.0026, 0.0222]', 'p_bh': 0.3965133459431429}",break-even round trip 180 bp vs median modelled 72 bp (ratio 2.51),"{'bear': (0.0031, 1549), 'bull': (0.0167, 2030)} | years positive share 0.83","{'mechanism': 2, 'oos_significance': 2, 'regime_robust': 4, 'param_stability': 4, 'cost_resilience': 4, 'capacity': 4, 'sample_size': 5, 'decay': 4, 'implementation': 4, 'counterparty_risk': 3}",LOW,**Research verdict: NO INCREMENTAL STRUCTURAL ALPHA**,"{'OOS BH p=0.40 (>=0.10)': 'PAPER TRADE', 'excess over price-only control +0.37% [-0.15%, +0.84%] not above 0': 'WATCH', 'verdict: NO INCREMENTAL STRUCTURAL ALPHA': 'WATCH'}",2,2,4,4,4,4,5,4,4,3,66.6,WATCH,NO INCREMENTAL STRUCTURAL ALPHA
X2_short_squeeze_continuation,interaction,Crowding (funding + OI) combined with fuel (liquidations / extension) creates asymmetric reversal or continuation risk.,"The crowded, levered side.",Late momentum / trapped positions.,Requires combining several data sources few monitor jointly.,Rare events; hard to size; painful to hold against crowded momentum.,Wider multi-factor monitoring; lower leverage.,days,low-medium (rare events); median event ADV $154m,perp,medium-high,exchange,medium (inherits CoinGlass limitations),FORCED FLOW,"{'n': 427, 'win_OOS': 0.4465116279069767, 'mae_med_OOS': -0.0524017467248908, 'mfe_med_OOS': 0.0684078857042813, 'breakeven_rt_bp': 118.8727184878956, 'median_rt_cost_bp': 70.47374710151246}","{'n': 212.0, 'net_mean': -0.0001084518185144, 'median': -0.0044549919882939, 't': -0.0117655827292609, 'p_bh': 0.9906991468966968}","{'n': 215.0, 'net_mean': 0.0095014040679438, 'median': -0.0068930458892348, 't': 0.8397798637844093, 'ci': '[-0.0120, 0.0333]', 'p_bh': 0.6407868202185923}",break-even round trip 119 bp vs median modelled 70 bp (ratio 1.69),"{'bear': (0.0059, 320), 'bull': (0.0012, 107)} | years positive share 0.67","{'mechanism': 4, 'oos_significance': 0, 'regime_robust': 4, 'param_stability': 3, 'cost_resilience': 3, 'capacity': 4, 'sample_size': 5, 'decay': 3, 'implementation': 3, 'counterparty_risk': 3}",LOW,**Research verdict: WATCH**,"{'OOS BH p=0.64 (>=0.10)': 'PAPER TRADE', 'top-5 events = 145% of OOS P&L': 'WATCH'}",4,0,4,3,3,4,5,3,3,3,62.2,WATCH,WATCH
F2_extreme_neg_funding_long,funding,Leverage demand exceeds arbitrage capital; funding prices the imbalance and crowded payers become marginal sellers (or buyers) when momentum stalls.,Levered directional traders (mostly retail / trend followers) paying funding to hold exposure.,Access to leverage and convexity matters more to them than carry cost.,"Delta-neutral capital is balance-sheet, venue and collateral constrained; the short-perp leg can be squeezed before funding accrues.","Carry trades are unpleasant (squeeze risk, exchange risk, capital lock-up across venues).","Cheap institutional basis capital, lower leverage caps, funding caps, fee changes.",days to weeks,high for majors; limited by alt-perp liquidity; median event ADV $21m,perp-dependent,"medium (daily rebalance, perp margin management)",single-exchange perp exposure (Binance); funding-cap rule changes,good: exchange-native funding prints 2019-> (all perps incl. delisted),PERSISTENT RISK PREMIUM,"{'n': 2406, 'win_OOS': 0.3945392491467577, 'mae_med_OOS': -0.1153231331354189, 'mfe_med_OOS': 0.0846545866364665, 'breakeven_rt_bp': 139.1843860832678, 'median_rt_cost_bp': 102.96696645599292}","{'n': 921.0, 'net_mean': 0.0026281704000881, 'median': -0.0290394677133105, 't': 0.2678470159850383, 'p_bh': 0.9085790575482144}","{'n': 1465.0, 'net_mean': 0.0044325557134295, 'median': -0.0274934901276742, 't': 0.4880109927829706, 'ci': '[-0.0147, 0.0216]', 'p_bh': 0.7569003471939032}",break-even round trip 139 bp vs median modelled 103 bp (ratio 1.35),"{'bear': (0.0142, 1186), 'bull': (-0.0064, 1220)} | years positive share 0.71","{'mechanism': 4, 'oos_significance': 1, 'regime_robust': 2, 'param_stability': 4, 'cost_resilience': 2, 'capacity': 2, 'sample_size': 5, 'decay': 5, 'implementation': 4, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,"{'OOS BH p=0.76 (>=0.10)': 'PAPER TRADE', 'top-5 events = 239% of OOS P&L': 'WATCH', 'positive event mean but OOS portfolio Sharpe -0.53': 'WATCH', 'verdict: REJECT AS TRADE': 'REJECT'}",4,1,2,4,2,2,5,5,4,3,61.0,REJECT,REJECT AS TRADE
X3_capitulation_rebound,interaction,Crowding (funding + OI) combined with fuel (liquidations / extension) creates asymmetric reversal or continuation risk.,"The crowded, levered side.",Late momentum / trapped positions.,Requires combining several data sources few monitor jointly.,Rare events; hard to size; painful to hold against crowded momentum.,Wider multi-factor monitoring; lower leverage.,days,low-medium (rare events); median event ADV $156m,perp,medium-high,exchange,medium (inherits CoinGlass limitations),FORCED FLOW,"{'n': 483, 'win_OOS': 0.4878048780487805, 'mae_med_OOS': -0.0927263969171484, 'mfe_med_OOS': 0.0626895854398381, 'breakeven_rt_bp': 105.86315400828428, 'median_rt_cost_bp': 71.6237022031269}","{'n': 195.0, 'net_mean': 0.0046342115702753, 'median': -0.0061328757225522, 't': 0.3388163644293532, 'p_bh': 0.8928569067848396}","{'n': 287.0, 'net_mean': 0.0024150347382999, 'median': -0.0016410686398465, 't': 0.1915126174172916, 'ci': '[-0.0204, 0.0290]', 'p_bh': 0.8681158066968715}",break-even round trip 106 bp vs median modelled 72 bp (ratio 1.48),"{'bear': (-0.0007, 307), 'bull': (0.0103, 176)} | years positive share 0.50","{'mechanism': 4, 'oos_significance': 1, 'regime_robust': 2, 'param_stability': 2, 'cost_resilience': 2, 'capacity': 4, 'sample_size': 5, 'decay': 4, 'implementation': 3, 'counterparty_risk': 3}",LOW,**Research verdict: NO INCREMENTAL STRUCTURAL ALPHA**,"{'OOS BH p=0.87 (>=0.10)': 'PAPER TRADE', 'excess over price-only control +1.44% [-0.57%, +3.57%] not above 0': 'WATCH', 'top-5 events = 221% of OOS P&L': 'WATCH', 'verdict: NO INCREMENTAL STRUCTURAL ALPHA': 'WATCH'}",4,1,2,2,2,4,5,4,3,3,58.6,WATCH,NO INCREMENTAL STRUCTURAL ALPHA
Q1_long_liq_flush_OI_reset_long,liquidation,Margin engines liquidate regardless of price: flushes overshoot when fuel is exhausted (OI reset) and cascade when leverage keeps rebuilding.,Liquidated leveraged traders and the insurance fund / ADL counterparties.,"Forced: margin calls, not choice.",Liquidity providers widen during cascades; risk capital is scarce exactly when needed.,Catching liquidation flushes is psychologically and operationally hard (gap risk).,"Lower leverage, better liquidation engines (partial liquidations), more market-making capital.",hours to days,medium (flush depth is large for majors); median event ADV $164m,stressed at entry,high (enters during volatility),exchange outages during cascades,"medium: CoinGlass aggregated daily, venue coverage spliced; pre-2021 zeros excluded",FORCED FLOW,"{'n': 1475, 'win_OOS': 0.4739336492890995, 'mae_med_OOS': -0.0879412782137018, 'mfe_med_OOS': 0.0752648096786331, 'breakeven_rt_bp': 98.02046586958524, 'median_rt_cost_bp': 69.93369145968308}","{'n': 629.0, 'net_mean': -0.0058526582691358, 'median': -0.0116741739770667, 't': -0.618754140074049, 'p_bh': 0.8289181837147303}","{'n': 844.0, 'net_mean': 0.0090861759461143, 'median': -0.0035765778864874, 't': 0.8210195173348588, 'ci': '[-0.0112, 0.0315]', 'p_bh': 0.6407868202185923}",break-even round trip 98 bp vs median modelled 70 bp (ratio 1.40),"{'bear': (0.0016, 591), 'bull': (0.0035, 884)} | years positive share 0.50","{'mechanism': 4, 'oos_significance': 0, 'regime_robust': 4, 'param_stability': 2, 'cost_resilience': 2, 'capacity': 4, 'sample_size': 5, 'decay': 3, 'implementation': 3, 'counterparty_risk': 3}",LOW,**Research verdict: NO INCREMENTAL STRUCTURAL ALPHA**,"{'OOS BH p=0.64 (>=0.10)': 'PAPER TRADE', 'excess over price-only control +1.73% [-0.34%, +3.58%] not above 0': 'WATCH', 'top-5 events = 61% of OOS P&L': 'WATCH', 'verdict: NO INCREMENTAL STRUCTURAL ALPHA': 'WATCH'}",4,0,4,2,2,4,5,3,3,3,58.2,WATCH,NO INCREMENTAL STRUCTURAL ALPHA
CB2_coinbase_premium_low_short_BTC,cross_venue,US USD spot demand (Coinbase) vs offshore USDT liquidity; premium indicates regional flow.,Offshore liquidity providers slow to reprice US flow.,Regional access constraints.,Capital controls / USD rails / USDT FX.,Transfer frictions.,Faster cross-venue arbitrage; ETF plumbing.,hours to days,"high (BTC); median event ADV $13,248m",deep,low,low,medium: daily closes cannot separate stale prints; USDT FX component,STRUCTURAL ALPHA,"{'n': 50, 'win_OOS': 0.6296296296296297, 'mae_med_OOS': -0.0218766281670865, 'mfe_med_OOS': 0.0393568698423563, 'breakeven_rt_bp': 40.24193216499705, 'median_rt_cost_bp': 20.0}","{'n': 23.0, 'net_mean': -0.0096547655915206, 'median': -0.016477776967989, 't': -0.4050497194888235, 'p_bh': 0.8857641547107367}","{'n': 27.0, 'net_mean': 0.0119729359048133, 'median': 0.0059857587356463, 't': 1.1821448857207195, 'ci': '[-0.0076, 0.0301]', 'p_bh': 0.4922729496954771}",break-even round trip 40 bp vs median modelled 20 bp (ratio 2.01),"{'bear': (0.0129, 19), 'bull': (-0.0046, 31)} | years positive share 0.57","{'mechanism': 2, 'oos_significance': 0, 'regime_robust': 2, 'param_stability': 2, 'cost_resilience': 4, 'capacity': 5, 'sample_size': 3, 'decay': 3, 'implementation': 5, 'counterparty_risk': 4}",LOW,**Research verdict: INSUFFICIENT EVIDENCE**,"{'OOS BH p=0.49 (>=0.10)': 'PAPER TRADE', 'top-5 events = 137% of OOS P&L': 'WATCH', 'verdict: INSUFFICIENT EVIDENCE': 'WATCH'}",2,0,2,2,4,5,3,3,5,4,52.0,WATCH,INSUFFICIENT EVIDENCE
CB1_coinbase_premium_high_long_BTC,cross_venue,US USD spot demand (Coinbase) vs offshore USDT liquidity; premium indicates regional flow.,Offshore liquidity providers slow to reprice US flow.,Regional access constraints.,Capital controls / USD rails / USDT FX.,Transfer frictions.,Faster cross-venue arbitrage; ETF plumbing.,hours to days,"high (BTC); median event ADV $13,520m",deep,low,low,medium: daily closes cannot separate stale prints; USDT FX component,STRUCTURAL ALPHA,"{'n': 26, 'win_OOS': 0.3333333333333333, 'mae_med_OOS': -0.0265956032014021, 'mfe_med_OOS': 0.0283635718404826, 'breakeven_rt_bp': 151.9282355103398, 'median_rt_cost_bp': 20.0}","{'n': 17.0, 'net_mean': 0.0217588067264596, 'median': -0.0106262166581052, 't': 0.9939710161552668, 'p_bh': 0.601286749043958}","{'n': 9.0, 'net_mean': -0.0029873668914368, 'median': -0.012727069127581, 't': -0.2518936383325946, 'ci': '[-0.0238, 0.0174]', 'p_bh': 0.8681158066968715}",break-even round trip 152 bp vs median modelled 20 bp (ratio 7.60),"{'bear': (-0.0059, 8), 'bull': (0.0217, 18)} | years positive share 0.43","{'mechanism': 2, 'oos_significance': 0, 'regime_robust': 4, 'param_stability': 1, 'cost_resilience': 5, 'capacity': 5, 'sample_size': 2, 'decay': 1, 'implementation': 5, 'counterparty_risk': 4}",LOW,**Research verdict: INSUFFICIENT EVIDENCE**,"{'OOS BH p=0.87 (>=0.10)': 'PAPER TRADE', 'verdict: INSUFFICIENT EVIDENCE': 'WATCH'}",2,0,4,1,5,5,2,1,5,4,51.6,WATCH,INSUFFICIENT EVIDENCE
U1_control_price_up_1sd_long,control,Price/OI quadrants separate new-leverage-driven moves from covering/capitulation.,Late levered momentum traders or capitulating longs.,Momentum chasing; margin pressure.,Crowding is observable but slow to resolve.,Signal is noisy and regime-dependent.,Wider use of OI dashboards.,days,medium; median event ADV $137m,perp,medium,exchange,medium: aggregated OI across venues (spliced),"CONTROL (price-only baseline, not a strategy)","{'n': 6238, 'win_OOS': 0.3955145118733509, 'mae_med_OOS': -0.0687643559416769, 'mfe_med_OOS': 0.0635395485381392, 'breakeven_rt_bp': 99.69019715415098, 'median_rt_cost_bp': 71.5109680028488}","{'n': 2424.0, 'net_mean': 0.0034285243526729, 'median': -0.0128684277909944, 't': 0.5283023890692936, 'p_bh': nan}","{'n': 3790.0, 'net_mean': 0.0022724433840606, 'median': -0.0189893384330472, 't': 0.4176909953741707, 'ci': '[-0.0081, 0.0129]', 'p_bh': nan}",break-even round trip 100 bp vs median modelled 72 bp (ratio 1.39),"{'bear': (-0.0022, 2811), 'bull': (0.0068, 3427)} | years positive share 0.50","{'mechanism': 2, 'oos_significance': 1, 'regime_robust': 2, 'param_stability': 2, 'cost_resilience': 2, 'capacity': 4, 'sample_size': 5, 'decay': 4, 'implementation': 4, 'counterparty_risk': 3}",LOW,**Research verdict: CONTROL**,"{'control signal (baseline only)': 'REJECT', 'verdict: CONTROL': 'REJECT'}",2,1,2,2,2,4,5,4,4,3,51.6,REJECT,CONTROL
