date,asset,venue,signal,direction,signal_strength,expected_horizon,expected_edge_net,mechanism_counterparty,historical_n,historical_oos_n,historical_win_rate_oos,current_regime,capacity_usd_1pct_adv,main_risk,aqs,recommended_action
2026-09-14,BRUSDT,Binance USD-M perp,F1_extreme_pos_funding_short,SHORT,"{'funding_7d_ann': 0.3298, 'funding_xs_rank': 0.9675, 'funding_ts_z': 3.4166}",5d,0.0068157787559271,Top cross-sectional decile of 7d funding AND funding >= +2 sd vs own 90d: crowded levered longs pay; expect weak forward returns,998,629,0.5786963434022258,"BTC bull, vol low",92913.15016219999,squeeze while short / funding flips; exchange funding caps,49.2,IGNORE
2026-09-14,CAPUSDT,Binance USD-M perp,F2_extreme_neg_funding_long,LONG,"{'funding_7d_ann': -0.5608, 'funding_xs_rank': 0.0519, 'funding_ts_z': -2.5745}",5d,0.0044325557134295,Bottom decile 7d funding AND funding <= -2 sd: crowded shorts pay; expect squeeze / rebound,2406,1465,0.3945392491467577,"BTC bull, vol low",90085.35803619999,squeeze while short / funding flips; exchange funding caps,61.0,IGNORE
2026-09-14,HEMIUSDT,Binance USD-M perp,F2_extreme_neg_funding_long,LONG,"{'funding_7d_ann': -1.5794, 'funding_xs_rank': 0.0195, 'funding_ts_z': -2.0886}",5d,0.0044325557134295,Bottom decile 7d funding AND funding <= -2 sd: crowded shorts pay; expect squeeze / rebound,2406,1465,0.3945392491467577,"BTC bull, vol low",678155.251332365,squeeze while short / funding flips; exchange funding caps,61.0,IGNORE
2026-09-14,LABUSDT,Binance USD-M perp,F3_funding_despite_reversal_short,SHORT,"{'funding_7d_ann': 0.2002, 'funding_xs_rank': 0.9026, 'funding_ts_z': 0.3148}",5d,-0.0117385255012415,Top-decile funding persists while price fell >= 1 sd over 3d: trapped longs still paying; expect continuation down,3021,1734,0.5184544405997693,"BTC bull, vol low",156882.32792385,squeeze while short / funding flips; exchange funding caps,37.0,IGNORE
2026-09-14,UAIUSDT,Binance USD-M perp,F3_funding_despite_reversal_short,SHORT,"{'funding_7d_ann': 0.4002, 'funding_xs_rank': 0.974, 'funding_ts_z': -0.2819}",5d,-0.0117385255012415,Top-decile funding persists while price fell >= 1 sd over 3d: trapped longs still paying; expect continuation down,3021,1734,0.5184544405997693,"BTC bull, vol low",554869.5516975,squeeze while short / funding flips; exchange funding caps,37.0,IGNORE
2026-09-14,SKYAIUSDT,Binance USD-M perp,P1_premium_z_high_short,SHORT,"{'prem_close': 0.0025, 'prem_z90': 3.4515}",5d,-0.0112187868070847,Perp premium >= +2 sd vs own 90d: perp rich vs index; expect perp to cheapen,6767,3416,0.5242974238875878,"BTC bull, vol low",87674.65721315,premium widens further in trend; index methodology,33.0,IGNORE
2026-09-14,VVVUSDT,Binance USD-M perp,P1_premium_z_high_short,SHORT,"{'prem_close': 0.0015, 'prem_z90': 2.2866}",5d,-0.0112187868070847,Perp premium >= +2 sd vs own 90d: perp rich vs index; expect perp to cheapen,6767,3416,0.5242974238875878,"BTC bull, vol low",241616.9487704,premium widens further in trend; index methodology,33.0,IGNORE
2026-09-14,XRPUSDT,Binance USD-M perp,P1_premium_z_high_short,SHORT,"{'prem_close': -0.0001, 'prem_z90': 2.1498}",5d,-0.0112187868070847,Perp premium >= +2 sd vs own 90d: perp rich vs index; expect perp to cheapen,6767,3416,0.5242974238875878,"BTC bull, vol low",9753820.3842683,premium widens further in trend; index methodology,33.0,IGNORE
2026-09-14,CAPUSDT,Binance USD-M perp,P2_premium_z_low_long,LONG,"{'prem_close': -0.0113, 'prem_z90': -3.6587}",5d,-0.0048558136340635,Perp premium <= -2 sd: perp cheap vs index; expect richening,10643,6637,0.4040982371553412,"BTC bull, vol low",90085.35803619999,premium widens further in trend; index methodology,33.0,IGNORE
2026-09-14,FFUSDT,Binance USD-M perp,P2_premium_z_low_long,LONG,"{'prem_close': -0.0011, 'prem_z90': -3.3336}",5d,-0.0048558136340635,Perp premium <= -2 sd: perp cheap vs index; expect richening,10643,6637,0.4040982371553412,"BTC bull, vol low",135864.16091140002,premium widens further in trend; index methodology,33.0,IGNORE
